Page ID,Page name,Disclaimer,Amount spent (CZK)
181047449129,Marketa Fassati,These ads ran without a disclaimer,≤100
400135006512410,XDIGR,These ads ran without a disclaimer,≤100
353821314687878,Ondřej Benešík,KDU-ČSL,≤100
102760788591345,Margo_Bylinina,These ads ran without a disclaimer,≤100
223745337716768,KOREAZ,These ads ran without a disclaimer,≤100
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100
111671111648061,Thememeprotocol,These ads ran without a disclaimer,≤100
100987652572064,Metapro Academy,These ads ran without a disclaimer,≤100
110068431682623,TrendExposed,These ads ran without a disclaimer,≤100
144580066134672,Economist Impact,These ads ran without a disclaimer,≤100
477180362138388,Европейская лента,These ads ran without a disclaimer,≤100
138980139287827,Now Translatorw,These ads ran without a disclaimer,≤100
1236911876448545,Investor news1,These ads ran without a disclaimer,≤100
188424964635571,ROMBAUT,These ads ran without a disclaimer,≤100
