Page ID,Amount spent (CZK),Number of ads in Library,Number of days
1094454530733590,56445,74,48
1104866262972886,540259,793,213
1201085733241671,73872,300,162
1220066088147062,146472,287,81
1382120098684027,62543,98,61
1382379128444365,23597,87,70
1386439704902726,109402,879,175
1393826507513693,21558,97,88
1395881230682843,228140,607,121
1401321553476901,355536,463,91
1401399660101451,7848,44,22
1410403182565683,107777,847,197
1416733788557863,272514,2702,220
1422617594662590,364401,2437,101
1434319750128022,513382,2727,222
1437561026464333,123078,2098,122
1451909405021929,2295,42,21
1458139890966328,288387,901,225
1458827397686128,21809,307,98
1468464403368393,112610,870,154
1469427909957890,261763,1878,316
1477535869227488,564235,832,120
1493915637496087,132569,189,131
1555826341333158,61181,64,31
1558359124403846,44879,186,89
1570680696523246,6151,117,25
1571432816412854,714171,1528,81
1600005766955141,32728,66,36
1649724681776439,7156,100,42
1661722700752175,3799,37,22
1679933578972328,88142,199,44
1681478228766601,552963,1214,64
1691199151153995,180969,110,29
1701718886552103,8825,127,65
1706194599657489,10912,23,23
1736314393286607,144396,329,113
1771562699724929,126651,340,73
1776002445975063,23107,167,146
1780099722095158,4283,43,26
1812098778828241,29005,185,66
1812508368973199,19788,36,30
1815379688541829,10075,58,46
1817941161841179,512899,5125,113
1833777390242834,31049,256,121
1844481785793711,101714,302,37
1870450529906750,10393,71,70
1889377324515249,14915,182,97
1953958664821128,23955,151,27
1956144064659620,336082,2540,345
1962450550674040,26486,214,113
2019114464985347,32151,62,31
2066000537016513,17276,180,28
2068226376787023,8552,58,48
2072757199653321,183835,414,55
2106629662903134,10812,168,77
2108659169383946,129001,670,84
2110017375753306,83639,531,80
2214398435317853,83406,69,48
2244726532215982,11821,172,63
2297075120544646,113601,129,70
