ad_id,country,age_range,male,female,unknown
1737574433668529,CZ,45-54,3821.0,886.0,25.0
1737574433668529,CZ,55-64,234.0,82.0,5.0
26798670876442912,CZ,18-24,4690.0,325.0,55.0
26798670876442912,CZ,25-34,25554.0,1210.0,72.0
26798670876442912,CZ,35-44,29723.0,2271.0,170.0
26798670876442912,CZ,45-54,24669.0,3740.0,161.0
26798670876442912,CZ,55-64,7794.0,2854.0,37.0
1059549429063468,CZ,18-24,927.0,192.0,5.0
1059549429063468,CZ,25-34,3787.0,1451.0,16.0
1059549429063468,CZ,35-44,3509.0,1839.0,36.0
1059549429063468,CZ,45-54,3034.0,1912.0,26.0
1059549429063468,CZ,55-64,1163.0,986.0,11.0
8269447433173487,CZ,18-24,9196.0,4043.0,61.0
8269447433173487,CZ,25-34,28079.0,10183.0,119.0
8269447433173487,CZ,35-44,13247.0,4742.0,139.0
8269447433173487,CZ,45-54,7479.0,3993.0,79.0
8269447433173487,CZ,55-64,2691.0,1912.0,8.0
3800121940263360,CZ,55-64,2289.0,1713.0,15.0
3800121940263360,CZ,18-24,6936.0,4220.0,57.0
3800121940263360,CZ,25-34,18400.0,7402.0,95.0
3800121940263360,CZ,35-44,10092.0,3424.0,89.0
3800121940263360,CZ,45-54,5782.0,2947.0,46.0
1230596185027317,CZ,18-24,989.0,160.0,2.0
1230596185027317,CZ,25-34,3117.0,607.0,15.0
1230596185027317,CZ,35-44,2302.0,718.0,22.0
1230596185027317,CZ,45-54,2107.0,984.0,22.0
1230596185027317,CZ,55-64,938.0,624.0,5.0
1220998549083802,CZ,18-24,702.0,98.0,8.0
1220998549083802,CZ,25-34,3127.0,702.0,16.0
1220998549083802,CZ,35-44,2608.0,724.0,15.0
1220998549083802,CZ,45-54,2052.0,818.0,17.0
1220998549083802,CZ,55-64,756.0,375.0,7.0
395720186516603,CZ,18-24,1198.0,668.0,8.0
395720186516603,CZ,25-34,4061.0,1500.0,15.0
395720186516603,CZ,35-44,2361.0,817.0,9.0
395720186516603,CZ,45-54,1338.0,887.0,4.0
395720186516603,CZ,55-64,492.0,473.0,2.0
749799153875949,CZ,25-34,1132.0,510.0,6.0
749799153875949,CZ,18-24,273.0,77.0,2.0
749799153875949,CZ,35-44,949.0,525.0,8.0
749799153875949,CZ,45-54,785.0,567.0,8.0
749799153875949,CZ,55-64,388.0,356.0,3.0
407344322366879,CZ,18-24,904.0,379.0,5.0
407344322366879,CZ,25-34,3089.0,593.0,12.0
407344322366879,CZ,35-44,2439.0,368.0,14.0
407344322366879,CZ,45-54,1515.0,415.0,9.0
407344322366879,CZ,55-64,435.0,222.0,
1042037644237385,CZ,18-24,1692.0,529.0,8.0
1042037644237385,CZ,25-34,5773.0,1367.0,24.0
1042037644237385,CZ,35-44,3803.0,934.0,31.0
1042037644237385,CZ,45-54,1827.0,800.0,15.0
1042037644237385,CZ,55-64,474.0,343.0,6.0
513100254706466,CZ,18-24,722.0,51.0,2.0
513100254706466,CZ,25-34,2904.0,332.0,12.0
513100254706466,CZ,35-44,2215.0,353.0,12.0
513100254706466,CZ,45-54,1697.0,475.0,16.0
513100254706466,CZ,55-64,660.0,272.0,5.0
1676836423155465,CZ,18-24,3065.0,803.0,9.0
1676836423155465,CZ,25-34,10985.0,1462.0,23.0
1676836423155465,CZ,35-44,5202.0,778.0,29.0
1676836423155465,CZ,45-54,2509.0,751.0,25.0
1676836423155465,CZ,55-64,794.0,391.0,2.0
1164748888126874,CZ,18-24,614.0,129.0,6.0
1164748888126874,CZ,25-34,1996.0,726.0,10.0
1164748888126874,CZ,35-44,2459.0,1077.0,16.0
1164748888126874,CZ,45-54,2576.0,1416.0,27.0
1164748888126874,CZ,55-64,1022.0,616.0,11.0
1428397507871602,CZ,18-24,52.0,6.0,1.0
1428397507871602,CZ,55-64,216.0,200.0,1.0
1428397507871602,CZ,25-34,195.0,81.0,4.0
1428397507871602,CZ,35-44,308.0,121.0,1.0
1428397507871602,CZ,45-54,407.0,254.0,4.0
3316614938633287,CZ,18-24,1047.0,488.0,17.0
3316614938633287,CZ,25-34,4362.0,1206.0,16.0
3316614938633287,CZ,35-44,2510.0,806.0,24.0
3316614938633287,CZ,45-54,1701.0,823.0,9.0
3316614938633287,CZ,55-64,661.0,459.0,2.0
1178673606717312,CZ,55-64,433.0,171.0,2.0
1178673606717312,CZ,18-24,227.0,17.0,
1178673606717312,CZ,25-34,659.0,51.0,4.0
1178673606717312,CZ,35-44,875.0,129.0,6.0
1178673606717312,CZ,45-54,864.0,242.0,8.0
8380472518654292,CZ,18-24,2426.0,829.0,6.0
8380472518654292,CZ,25-34,7084.0,1811.0,34.0
8380472518654292,CZ,35-44,4070.0,1059.0,34.0
8380472518654292,CZ,45-54,2176.0,732.0,18.0
8380472518654292,CZ,55-64,726.0,395.0,6.0
1027246322455200,CZ,18-24,500.0,47.0,3.0
1027246322455200,CZ,25-34,1304.0,177.0,10.0
1027246322455200,CZ,35-44,1469.0,337.0,14.0
